source,macro_auc,ACL,MCL,Medial Meniscus,Lateral Meniscus,Medial OA,Lateral OA,PF OA,Effusion,Synovitis,Baker's,Contusion,Fracture
rank_blend_all5,0.8976,0.9926,0.9637,0.9573,0.8845,0.931,0.8153,0.9093,0.8652,0.7915,0.9746,0.863,0.8229
stevenleehans_v4_blend,0.8927,0.9871,0.9683,0.9483,0.8789,0.9318,0.8327,0.9015,0.877,0.7903,0.9438,0.8596,0.7931
stevenleehans_v2,0.8873,0.9933,0.9637,0.9543,0.8621,0.931,0.8298,0.9009,0.8534,0.7903,0.9457,0.8306,0.7931
ours_qwen3_4b,0.8616,0.9583,0.8866,0.9147,0.8677,0.9271,0.8124,0.8308,0.8174,0.7372,0.9511,0.8117,0.8243
lixin73_gpt56sol,0.8488,0.9553,0.9218,0.9291,0.9112,0.8729,0.8191,0.8263,0.6845,0.6983,0.933,0.8596,0.7743
pilkwang_v2,0.8142,0.9816,0.9762,0.9411,0.8335,0.8434,0.7041,0.8604,0.7801,0.5114,0.7871,0.726,0.8257
