candidate,repo,ok,stage_failed,error,macro_auc,answered,n_total,answer_rate,median_prompt_tokens,max_prompt_tokens,elapsed_s,n_oom_retries,projected_full_corpus_hours,shards_needed,auc_ACL,auc_MCL,auc_Medial Meniscus,auc_Lateral Meniscus,auc_Medial OA,auc_Lateral OA,auc_PF OA,auc_Effusion,auc_Synovitis,auc_Baker's,auc_Contusion,auc_Fracture
Qwen3-4B-Instruct,Qwen/Qwen3-4B-Instruct-2507,True,,,0.8612711537295099,696,696,1.0,508,1845,204.48314428329468,0,3.9142272223332517,1,0.9583333333333334,0.8866213151927437,0.9146634615384616,0.8658385093167702,0.9263565891472868,0.811411992263056,0.832046332046332,0.8167701863354037,0.7371565113500598,0.9492753623188406,0.810391363022942,0.826388888888889
Qwen3-8B,Qwen/Qwen3-8B,True,,,0.8759043807812432,696,696,1.0,512,1849,406.49254298210144,0,7.781101875133854,2,0.9730392156862745,0.963718820861678,0.8978365384615384,0.870807453416149,0.9379844961240311,0.8723404255319148,0.8262548262548262,0.8006211180124223,0.7574671445639187,0.953804347826087,0.8083670715249662,0.8486111111111111
